Area_Name,Year,Group_Name,Sub_Group_Name,K_A_Cases_Reported,K_A_Female_10_15_Years,K_A_Female_15_18_Years,K_A_Female_18_30_Years,K_A_Female_30_50_Years,K_A_Female_Above_50_Years,K_A_Female_Total,K_A_Female_Upto_10_Years,K_A_Grand_Total,K_A_Male_10_15_Years,K_A_Male_15_18_Years,K_A_Male_18_30_Years,K_A_Male_30_50_Years,K_A_Male_Above_50_Years,K_A_Male_Total,K_A_Male_Upto_10_Years
Andhra Pradesh,2010,Kidnap - For Adoption,01. For Adoption,3,0,0,0,0,0,0,0,3,0,0,0,2,0,3,1
Arunachal Pradesh,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2010,Kidnap - For Adoption,01. For Adoption,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,2,NULL,1,2,NULL,6,1
Chhattisgarh,2010,Kidnap - For Adoption,01. For Adoption,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0
Delhi,2010,Kidnap - For Adoption,01. For Adoption,1,NULL,NULL,NULL,NULL,NULL,0,NULL,1,NULL,NULL,NULL,NULL,NULL,1,1
Goa,2010,Kidnap - For Adoption,01. For Adoption,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,1
Gujarat,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2010,Kidnap - For Adoption,01. For Adoption,2,NULL,NULL,NULL,NULL,NULL,0,NULL,2,NULL,NULL,NULL,NULL,NULL,2,2
Himachal Pradesh,2010,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Jammu & Kashmir,2010,Kidnap - For Adoption,01. For Adoption,3,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0
Jharkhand,2010,Kidnap - For Adoption,01. For Adoption,12,3,0,6,0,0,9,0,12,0,0,3,0,0,3,0
Karnataka,2010,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Kerala,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,Kidnap - For Adoption,01. For Adoption,23,2,5,16,0,0,23,0,23,0,0,0,0,0,0,0
Maharashtra,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2010,Kidnap - For Adoption,01. For Adoption,22,2,2,1,0,0,6,1,22,1,3,4,7,0,16,1
Odisha,2010,Kidnap - For Adoption,01. For Adoption,45,0,0,42,3,0,45,0,45,0,0,0,0,0,0,0
Punjab,2010,Kidnap - For Adoption,01. For Adoption,3,NULL,NULL,NULL,NULL,NULL,1,1,3,NULL,NULL,NULL,NULL,NULL,2,2
Tamil Nadu,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2010,Kidnap - For Adoption,01. For Adoption,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,1
West Bengal,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2010,Kidnap - For Begging,02. For Begging,3,0,0,0,0,0,0,0,3,1,0,0,1,0,3,1
Arunachal Pradesh,2010,Kidnap - For Begging,02. For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2010,Kidnap - For Begging,02. For Begging,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,NULL
Chhattisgarh,2010,Kidnap - For Begging,02. For Begging,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Gujarat,2010,Kidnap - For Begging,02. For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2010,Kidnap - For Begging,02. For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2010,Kidnap - For Begging,02. For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2010,Kidnap - For Begging,02. For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2010,Kidnap - For Begging,02. For Begging,2,0,0,1,0,0,1,0,2,0,0,1,0,0,1,0
Kerala,2010,Kidnap - For Begging,02. For Begging,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Madhya Pradesh,2010,Kidnap - For Begging,02. For Begging,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Maharashtra,2010,Kidnap - For Begging,02. For Begging,1,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
Manipur,2010,Kidnap - For Begging,02. For Begging,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Meghalaya,2010,Kidnap - For Begging,02. For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2010,Kidnap - For Begging,02. For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2010,Kidnap - For Begging,02. For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,Kidnap - For Begging,02. For Begging,25,0,0,25,0,0,25,0,25,0,0,0,0,0,0,0
Puducherry,2010,Kidnap - For Begging,02. For Begging,1,NULL,NULL,NULL,NULL,NULL,3,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Punjab,2010,Kidnap - For Begging,02. For Begging,1,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rajasthan,2010,Kidnap - For Begging,02. For Begging,3,NULL,NULL,NULL,NULL,NULL,2,2,3,NULL,NULL,NULL,NULL,NULL,1,1
Tamil Nadu,2010,Kidnap - For Begging,02. For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2010,Kidnap - For Begging,02. For Begging,18,4,0,2,0,0,6,0,20,12,0,0,0,0,14,2
Andhra Pradesh,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2010,Kidnap - For Camel Racing,03. for Camel Racing,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0
Kerala,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2010,Kidnap - For Camel Racing,03. for Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2010,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,118,8,19,73,10,0,110,0,118,1,0,7,0,0,8,0
Arunachal Pradesh,2010,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,4,3,0,1,0,0,4,0,4,0,0,0,0,0,0,0
Assam,2010,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,241,5,12,169,55,NULL,241,NULL,241,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bihar,2010,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,48,2,5,26,15,NULL,48,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Chhattisgarh,2010,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,14,3,7,4,0,0,14,0,14,0,0,0,0,0,0,0
Delhi,2010,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,21,7,14,NULL,NULL,NULL,21,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gujarat,2010,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,259,31,94,106,7,0,241,3,259,0,0,11,6,0,18,1
Haryana,2010,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,137,2,8,120,6,0,137,1,137,0,0,0,0,0,0,0
Himachal Pradesh,2010,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,4,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0
Jammu & Kashmir,2010,Kidnap - For Illicit Intercourse,04. For Illicit Intercourse,255,1,1,211,35,0,249,1,255,0,0,6,0,0,6,0
